Study_ID,Study_Name,Location_ID,Location_Description,Instrument_ID,Field_Collection_Type,Field_Collector,Time_Zone,Field_Collection_Date,Field_Collection_Time,Field_Collection_Date_Time,Field_Collection_Comment,Matrix,Source,Depth_Value,Depth_Value_Units,Result_Parameter_Name,Result_Value,Result_Value_Units,Result_Data_Qualifier,Result_Method,Result_Method_Description,Result_Comment,Result_Data_Review_Status,Calculated_Latitude_Decimal_Degrees_NAD83HARN,Calculated_Longitude_Decimal_Degrees_NAD83HARN,Continuous_Result_System_ID
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,SBE 3,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:07,12/5/2017 6:57:07 PM,,Water,Salt/Marine Water,1,m,"Temperature, water",9.1975,deg C,,TEMPTHERM,Temperature by thermistor,,Final,48.4166700009363,-123.025,122294703
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,SBE 4,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:07,12/5/2017 6:57:07 PM,,Water,Salt/Marine Water,1,m,Conductivity,3.301757,S/m,,CONDUCTIVITY-SBE,"Conductivity sensor using cylindrical, flow-through, borosilicate glass cell with three internal platinum electrodes & Wein bridge, unique to Sea-Bird Electronics",,Final,48.4166700009363,-123.025,122295053
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,SBE 4,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:10.3700000,12/5/2017 6:57:10 PM,,Water,Salt/Marine Water,2.5,m,Density as sigma-t,23.5954,kg/m3-1000,,UNESCO83-DensityCalc,"Seawater density calculated from conductivity, temperature and pressure sensor measurements.  For sigma-t, density is reported as a function of temperature and salinity at pressure = 0, minus 1000.",,Final,48.4166700009363,-123.025,122295406
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,SBE 4,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:10.3700000,12/5/2017 6:57:10 PM,,Water,Salt/Marine Water,2.5,m,Salinity,30.5375,PSU,,PSS78-SalinityCalc,"Seawater salinity calculated from conductivity, temperature and pressure sensor measurements, based on the Practical Salinity Scale 1978 (PSS-78) and adopted by UNESCO in 1981 as the standard method for calculating salinity from conductivity measurements.",,Final,48.4166700009363,-123.025,122295756
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,ECO-FLNTURT,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:10.3700000,12/5/2017 6:57:10 PM,,Water,Salt/Marine Water,2.5,m,Fluorescence,0.88457834,mg/m3,IA,FLUOROMETER-OP,"Open path fluorometric optical sensor for Chlorophyll, Colored Dissolved Organic Matter (CDOM), Uranine (fluorescein), Rhodamine, Phycoerythrin, and Phycocyanin fluorescence.",Calculated with Subtrahend 0.091 and Multiplier 19.356,Final,48.4166700009363,-123.025,122303331
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:10.3700000,12/5/2017 6:57:10 PM,,Water,Salt/Marine Water,2.5,m,Dissolved Oxygen,7.771624,mg/L,IA,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark) Cell Sensor with Fixed Membrane (Flow Dependent),Calculated with Multiplier 1.070,Final,48.4166700009363,-123.025,122314954
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,SBE 29,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:11.4933333,12/5/2017 6:57:11 PM,,Water,Salt/Marine Water,,,Depth,3,m,,UNESCO83-DepthCalc,"Seawater depth calculated from pressure sensor measurements using UNESCO Technical Papers in Marine Science No. 44 formula. This empirical formula takes compressibility (density) into account. An ocean water column at 0 °C (t = 0) and 35 PSU (s = 35) is assumed.  The gravity variation with latitude and pressure is computed. Then, depth is calculated from pressure.",,Final,48.4166700009363,-123.025,122293305
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,C-Star,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:11.4933333,12/5/2017 6:57:11 PM,,Water,Salt/Marine Water,3,m,Light Transmission,90.7932,%,,Transmissometer,"Underwater beam transmittance by photoelectric transmissometer, wavelength 650-60 nm, pathlength 25 cm.",,Final,48.4166700009363,-123.025,122293655
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,C-Star,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:11.4933333,12/5/2017 6:57:11 PM,,Water,Salt/Marine Water,3,m,Beam Attenuation,0.3864,m^-1,,BeamAttenCalc,"Light beam attenuation coefficient in water column, calculated from transmissometer measurements, wavelength 650 to 660 nm, pathlength 25 cm",,Final,48.4166700009363,-123.025,122294005
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,SBE 3,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:11.4933333,12/5/2017 6:57:11 PM,,Water,Salt/Marine Water,3,m,"Temperature, water",9.21,deg C,,TEMPTHERM,Temperature by thermistor,,Final,48.4166700009363,-123.025,122294707
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,SBE 4,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:11.4933333,12/5/2017 6:57:11 PM,,Water,Salt/Marine Water,3,m,Density as sigma-t,23.6005,kg/m3-1000,,UNESCO83-DensityCalc,"Seawater density calculated from conductivity, temperature and pressure sensor measurements.  For sigma-t, density is reported as a function of temperature and salinity at pressure = 0, minus 1000.",,Final,48.4166700009363,-123.025,122295407
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,SBE 4,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:11.4933333,12/5/2017 6:57:11 PM,,Water,Salt/Marine Water,3,m,Salinity,30.5458,PSU,,PSS78-SalinityCalc,"Seawater salinity calculated from conductivity, temperature and pressure sensor measurements, based on the Practical Salinity Scale 1978 (PSS-78) and adopted by UNESCO in 1981 as the standard method for calculating salinity from conductivity measurements.",,Final,48.4166700009363,-123.025,122295757
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,ECO-FLNTURT,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:07,12/5/2017 6:57:07 PM,,Water,Salt/Marine Water,1,m,Fluorescence,1.00458678,mg/m3,IA,FLUOROMETER-OP,"Open path fluorometric optical sensor for Chlorophyll, Colored Dissolved Organic Matter (CDOM), Uranine (fluorescein), Rhodamine, Phycoerythrin, and Phycocyanin fluorescence.",Calculated with Subtrahend 0.091 and Multiplier 19.356,Final,48.4166700009363,-123.025,122303184
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:07,12/5/2017 6:57:07 PM,,Water,Salt/Marine Water,1,m,Dissolved Oxygen,7.790242,mg/L,IA,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark) Cell Sensor with Fixed Membrane (Flow Dependent),Calculated with Multiplier 1.070,Final,48.4166700009363,-123.025,122315635
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,SBE 29,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:08.1233333,12/5/2017 6:57:08 PM,,Water,Salt/Marine Water,,,Depth,1.5,m,,UNESCO83-DepthCalc,"Seawater depth calculated from pressure sensor measurements using UNESCO Technical Papers in Marine Science No. 44 formula. This empirical formula takes compressibility (density) into account. An ocean water column at 0 °C (t = 0) and 35 PSU (s = 35) is assumed.  The gravity variation with latitude and pressure is computed. Then, depth is calculated from pressure.",,Final,48.4166700009363,-123.025,122293302
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,QSP-2200,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:08.1233333,12/5/2017 6:57:08 PM,,Water,Salt/Marine Water,1.5,m,Photosynthetically active radiation,511.28,umol/m2/s,,PARSensor-Sphere,Sensor using a spherical silicon photovoltaic detector for measuring quantum response of photosynthetically active radiation (PAR) in 400-700 nm spectrum,,Final,48.4166700009363,-123.025,122294353
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,SBE 4,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:08.1233333,12/5/2017 6:57:08 PM,,Water,Salt/Marine Water,1.5,m,Density as sigma-t,23.5946,kg/m3-1000,,UNESCO83-DensityCalc,"Seawater density calculated from conductivity, temperature and pressure sensor measurements.  For sigma-t, density is reported as a function of temperature and salinity at pressure = 0, minus 1000.",,Final,48.4166700009363,-123.025,122295404
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,SBE 4,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:08.1233333,12/5/2017 6:57:08 PM,,Water,Salt/Marine Water,1.5,m,Salinity,30.5355,PSU,,PSS78-SalinityCalc,"Seawater salinity calculated from conductivity, temperature and pressure sensor measurements, based on the Practical Salinity Scale 1978 (PSS-78) and adopted by UNESCO in 1981 as the standard method for calculating salinity from conductivity measurements.",,Final,48.4166700009363,-123.025,122295754
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,SBE 29,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:09.2466667,12/5/2017 6:57:09 PM,,Water,Salt/Marine Water,,,Depth,2,m,,UNESCO83-DepthCalc,"Seawater depth calculated from pressure sensor measurements using UNESCO Technical Papers in Marine Science No. 44 formula. This empirical formula takes compressibility (density) into account. An ocean water column at 0 °C (t = 0) and 35 PSU (s = 35) is assumed.  The gravity variation with latitude and pressure is computed. Then, depth is calculated from pressure.",,Final,48.4166700009363,-123.025,122293303
MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,C-Star,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,12/05/2016,18:57:09.2466667,12/5/2017 6:57:09 PM,,Water,Salt/Marine Water,2,m,Light Transmission,90.8193,%,,Transmissometer,"Underwater beam transmittance by photoelectric transmissometer, wavelength 650-60 nm, pathlength 25 cm.",,Final,48.4166700009363,-123.025,122293653
